State,Country,Date,Time,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio,Lat,Long
Mizoram,India,2021-04-09,04:21:13,4558,11,4454,93,367.80488749592496,0.2413339183852567,23.309381,92.83822
Nagaland,India,2021-04-09,04:21:13,12381,92,12143,146,550.3412684830611,0.7430740650997496,26.06702,94.470302
Odisha,India,2021-04-09,04:21:13,345526,1923,338890,4713,745.3695540290136,0.5565427782569184,20.505428,84.418059
Puducherry,India,2021-04-09,04:21:13,43242,687,40555,2000,3059.1238180400724,1.5887331760788124,11.882658,78.86498
Punjab,India,2021-04-09,04:21:13,263090,7334,229367,26389,872.8534031943402,2.7876392109164163,30.841465000000003,75.40879
Rajasthan,India,2021-04-09,04:21:13,350317,2866,326299,21152,432.3156547353377,0.8181161633606134,26.583423,73.847973
Sikkim,India,2021-04-09,04:21:13,6323,136,6090,97,916.0435841454776,2.1508777479044756,27.571671,88.472712
Tamil Nadu,India,2021-04-09,04:21:13,915386,12840,872415,30131,1175.9649287311831,1.4026869539188933,11.006091,78.400624
Telangana,India,2021-04-09,04:21:13,321182,1746,303964,15472,815.9545429925952,0.5436170146521287,18.1124,79.0193
Tripura,India,2021-04-09,04:21:13,33644,393,33103,148,806.8504103560032,1.1681131851147306,23.746783,91.743565
Uttar Pradesh,India,2021-04-09,04:21:13,654404,9003,606063,39338,275.09521761195566,1.3757556494153458,26.925425,80.560982
Uttarakhand,India,2021-04-09,04:21:13,105498,1744,98712,5042,937.6884856248296,1.6531119073347362,30.156447,79.197608
West Bengal,India,2021-04-09,04:21:13,602807,10370,576328,16109,605.1713864517253,1.720285265433215,23.814082,87.979803
Andaman and Nicobar Islands,India,2021-04-10,04:20:59,5161,62,5028,71,1237.5430418477065,1.2013175741135438,11.225999,92.968178
Andhra Pradesh,India,2021-04-10,04:20:59,918597,7279,894896,16422,1704.1543191910016,0.7924040683781898,15.9129,79.74
Arunachal Pradesh,India,2021-04-10,04:20:59,16875,56,16789,30,1074.5273034999982,0.33185185185185184,27.768456,96.384277
Assam,India,2021-04-10,04:20:59,219553,1115,215828,2610,616.5999930519356,0.5078500407646446,26.357149,92.830441
Bihar,India,2021-04-10,04:20:59,276004,1598,265048,9358,221.15718241691903,0.5789771162736772,25.679658,85.60484
Chandigarh,India,2021-04-10,04:20:59,29943,393,26337,3213,2584.695543184865,1.3124937381023944,30.733839,76.76827800000002
Chhattisgarh,India,2021-04-10,04:20:59,418678,4654,337156,76868,1422.3220357252935,1.1115941128982176,21.264705,82.035366
Dadra and Nagar Haveli and Daman and Diu,India,2021-04-10,04:20:59,3884,2,3652,230,630.8021126348818,0.05149330587023687,20.194742,73.080901
Delhi,India,2021-04-10,04:20:59,706526,11196,668699,26631,3776.00847248468,1.584655058695646,28.646519,77.10898
Goa,India,2021-04-10,04:20:59,61239,845,56797,3597,3860.6146572104017,1.3798396446708796,15.359682,74.057396
Gujarat,India,2021-04-10,04:20:59,337015,4697,309626,22692,527.6379238550285,1.3937065115796032,22.694884,71.590923
Haryana,India,2021-04-10,04:20:59,310504,3241,289121,18142,1100.8948440209876,1.0437868755313942,29.20004,76.332824
Himachal Pradesh,India,2021-04-10,04:20:59,68173,1103,62411,4659,914.8337583895768,1.6179425872412831,31.927213,77.233081
Jammu and Kashmir,India,2021-04-10,04:20:59,136470,2023,128332,6115,1002.9897870989364,1.4823770792115483,33.75943,76.612638
Jharkhand,India,2021-04-10,04:20:59,134715,1175,122936,10604,349.05731852051,0.8722117061945589,23.654536,85.557631
Karnataka,India,2021-04-10,04:20:59,1048085,12813,977169,58103,1551.2778754829255,1.2225153494229952,14.70518,76.166436
Kerala,India,2021-04-10,04:20:59,1154010,4750,1112758,36502,3232.5714437617416,0.4116082182996681,10.450898,76.405749
Ladakh,India,2021-04-10,04:20:59,10619,130,9932,557,3871.4640397536905,1.2242207364158584,34.1526,77.5771
Lakshadweep,India,2021-04-10,04:20:59,784,1,728,55,1216.8433469400425,0.12755102040816327,13.6999972,72.18333259999999
Madhya Pradesh,India,2021-04-10,04:20:59,327220,4136,292598,30486,383.3457915053211,1.2639814192286536,23.541513,78.289633
Maharashtra,India,2021-04-10,04:20:59,3288540,57329,2695148,536063,2670.478500643916,1.7432964172550738,19.449759,76.108221
Manipur,India,2021-04-10,04:20:59,29475,375,29009,91,953.4067917497562,1.272264631043257,24.738975,93.882541
Meghalaya,India,2021-04-10,04:20:59,14207,151,13889,167,421.9846675240814,1.0628563384247203,25.536934,91.278882
Mizoram,India,2021-04-10,04:20:59,4583,11,4457,115,369.822246466394,0.24001745581496836,23.309381,92.83822
Nagaland,India,2021-04-10,04:20:59,12388,92,12150,146,550.6524217727292,0.7426541814659348,26.06702,94.470302
Odisha,India,2021-04-10,04:20:59,346808,1924,339200,5684,748.1350876451964,0.5547738229798621,20.505428,84.418059
Puducherry,India,2021-04-10,04:20:59,43465,687,40694,2084,3074.899790738443,1.5805820775336477,11.882658,78.86498
Punjab,India,2021-04-10,04:20:59,266494,7390,231885,27219,884.1468502446786,2.773045546991677,30.841465000000003,75.40879
Rajasthan,India,2021-04-10,04:20:59,354287,2898,327304,24085,437.21491212021857,0.8179809024886603,26.583423,73.847973
Sikkim,India,2021-04-10,04:20:59,6329,136,6092,101,916.9128331577932,2.1488386790962237,27.571671,88.472712
Tamil Nadu,India,2021-04-10,04:20:59,920827,12863,874305,33659,1182.954794402306,1.3968964854418908,11.006091,78.400624
Telangana,India,2021-04-10,04:20:59,324091,1752,304548,17791,823.3447820644157,0.5405889086707129,18.1124,79.0193
Tripura,India,2021-04-10,04:20:59,33685,393,33104,188,807.8336723588743,1.1666914056701796,23.746783,91.743565
